,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,price_range
2034,508910,"Deus Ex Machina, Game of the Year, 30th Anniversary Collector’s Edition",2016-09-29,1,Potassium Frog Limited;Automata Source,Potassium Frog Limited,windows;mac;linux,0,Single-player;Full controller support;Commentary available,Indie,Indie;Pixel Graphics,0,14,2,0,0,0-20000,3.99,na
2035,509160,Gebub's Adventure,2016-08-16,1,John Wallie,John Wallie,windows;mac,0,Single-player;Steam Achievements;Full controller support,Adventure,Adventure;2D,5,24,1,0,0,0-20000,3.99,na
2036,510290,DEXED,2016-09-26,1,Ninja Theory,Ninja Theory,windows,0,Single-player;Steam Achievements;Full controller support,Action,Action;VR,18,33,6,0,0,0-20000,6.99,na
2037,510330,Shotgun Raiders,2016-09-15,1,PileOfCrab,PileOfCrab,windows,0,Single-player;Multi-player;Local Multi-Player;Partial Controller Support;Includes level editor,Indie,Indie;Platformer;Arcade,0,13,11,346,350,0-20000,1.99,na
2038,510420,The Hex,2018-10-16,1,Daniel Mullins Games,Daniel Mullins Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie,Indie;Singleplayer;Mystery,28,414,17,496,496,0-20000,7.19,na
2039,510550,Congo Merc,2016-12-12,1,Dreamwalker Games,HexWar Games,windows;mac,0,Single-player;Steam Achievements,Strategy,Strategy;Turn-Based;Board Game,12,8,11,0,0,0-20000,3.99,na
2040,510590,D: The Game,2016-10-27,1,WARP,Nightdive Studios;Throwback Entertainment,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure,Adventure;Horror;Classic,0,38,5,0,0,0-20000,4.79,na
2041,510780,SkyBoats,2016-08-23,1,BrainGoodGames,BrainGoodGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Turn-Based;Procedural Generation,13,17,3,0,0,0-20000,5.59,na
2042,510850,Mars 2030,2017-07-31,1,FMG Labs,Fusion Media Group,windows,0,Single-player;Steam Achievements;Full controller support,Simulation,Simulation;Mars;Space,10,40,22,0,0,0-20000,10.99,na
2043,511600,Space Jones VR,2016-08-11,1,VikingVRStudio,VikingVRStudio,windows,0,Single-player,Indie,Indie;VR;FPS,4,16,6,0,0,0-20000,3.99,na
2044,511680,Fate/EXTELLA,2017-07-25,1,Marvelous Inc.,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Anime;Action;Hack and Slash,53,2833,204,54,54,100000-200000,29.99,na
2045,511810,CHEXS,2016-09-22,1,Turnopia,Turnopia,windows;mac,0,Single-player;Multi-player;Online Multi-Player,Strategy,Strategy;Chess,0,8,2,0,0,0-20000,4.99,na
2046,511920,Reproduction Man,2017-01-10,1,David Kilmer,Deuteranopia,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Indie,Indie;Puzzle;2D,9,2,1,0,0,0-20000,1.59,na
2047,512180,Nightshade／百花百狼,2017-04-11,1,Red Entertainment;LANTERN ROOMS,D3 PUBLISHER,windows,12,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Visual Novel;Otome,26,316,5,0,0,0-20000,26.99,na
2048,512370,Hero Boy,2016-10-31,1,Crowned Daemon Studios,Crowned Daemon Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie,Indie;Horror;Beat 'em up,25,5,0,0,0,0-20000,3.99,na
2049,512600,Gochi-Show! -How To Learn Japanese Cooking Game-,2016-09-01,1,Creative Freaks Inc.,Creative Freaks Inc.,windows,0,Single-player;Steam Trading Cards,Adventure,Adventure;Anime;Visual Novel,0,38,12,0,0,0-20000,3.99,na
2050,512610,Gochi-Show! for Girls -How To Learn Japanese Cooking Game-,2016-09-07,1,Creative Freaks Inc.,Creative Freaks Inc.,windows,0,Single-player,Adventure,Adventure;Otome;Visual Novel,0,10,2,0,0,0-20000,3.99,na
2051,513270,Lockdown: Stand Alone,2017-12-21,1,Viversion,Viversion,windows,0,Single-player,Action,Action;Horror;VR,0,24,15,0,0,0-20000,7.99,na
2052,513360,Mu Cartographer,2016-08-24,1,Titouan Millet,Titouan Millet,windows;mac,0,Single-player,Indie,Indie;Puzzle;Sandbox,0,140,14,0,0,20000-50000,3.99,na
2053,513490,1943 Berlin Blitz,2018-10-03,1,BBC Media Applications Technologies Limited,BBC Media Applications Technologies Limited,windows,0,Single-player;Partial Controller Support,Indie,Indie;VR;Historical,0,120,7,0,0,20000-50000,0.0,na
2054,513720,Archipelago,2016-08-17,1,Dima Kiva,Dima Kiva,windows;linux,0,Single-player,Strategy,Strategy;Pirates,0,28,15,0,0,0-20000,0.79,na
2055,513810,Arkham Nightmares,2016-08-13,1,Tim Rachor,Tim Rachor,windows,0,Single-player;Partial Controller Support,Adventure,Adventure;Lovecraftian,0,3,10,0,0,0-20000,1.99,na
2056,513860,Elena,2016-12-16,1,Catch A Cat,LabOne48,windows,0,Single-player;Steam Trading Cards,Adventure,Adventure;VR;Walking Simulator,0,31,6,0,0,0-20000,2.89,na
2057,513890,The Frostrune,2017-02-02,1,Grimnir Media,Snow Cannon Games,windows;mac,0,Single-player;Steam Achievements,Adventure,Adventure;Point & Click;Mythology,20,225,23,0,0,20000-50000,6.99,na
2058,514140,Elite Warriors: Vietnam,2017-02-02,1,N-Fusion Interactive,Retroism,windows,0,Single-player,Action,Action,0,8,4,0,0,0-20000,6.99,na
2059,514150,Line of Sight: Vietnam,2016-12-01,1,N-Fusion Interactive,Retroism,windows,0,Single-player,Action,Action;FPS,0,20,9,0,0,0-20000,6.99,na
2060,514160,18 Wheels of Steel: Across America,2016-08-26,1,SCS Software;Sunstorm Interactive,Play Hard Games;ValuSoft,windows,0,Single-player,Simulation,Simulation;Driving,0,51,7,0,0,0-20000,6.99,na
2061,514170,18 Wheels of Steel: Convoy,2016-09-02,1,SCS Software,Valusoft;Play Hard Games,windows,0,Single-player,Simulation,Simulation,0,24,9,0,0,0-20000,6.99,na
2062,514180,18 Wheels of Steel: Haulin’,2016-09-09,1,SCS Software,Play Hard Games;ValuSoft,windows,0,Single-player,Simulation,Simulation;Driving,0,24,11,0,0,0-20000,6.99,na
2063,514310,SENRAN KAGURA Bon Appétit! - Full Course,2016-11-10,1,Meteorise,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Casual,Nudity;Anime;Sexual Content,43,490,34,125,125,20000-50000,14.99,na
2064,514490,Ultimate Word Search 2: Letter Boxed,2016-08-18,1,EnsenaSoft,EnsenaSoft,windows,0,Single-player,Casual,Casual;Puzzle,0,26,41,222,222,100000-200000,0.79,na
2065,514520,Sparky's Hunt,2016-08-18,1,Luke Cripps,Fellowplayer,windows,0,Single-player,Indie,Indie;Horror,14,6,3,0,0,0-20000,0.99,na
2066,514770,Grave Mania: Pandemic Pandemonium,2016-08-30,1,Anino Games,Big Fish Games,windows,0,Single-player,Casual,Casual,0,4,0,0,0,0-20000,4.99,na
2067,514780,Best in Show Solitaire,2016-10-06,1,Graduate Games,Graduate Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Casual,Casual;Card Game;Singleplayer,30,9,8,0,0,0-20000,3.99,na
